Time,Label,value
2017-03-14 00:00:00-04:00,ASPT,69.51
2017-03-14 00:10:00-04:00,ASPT,69.42
2017-03-14 00:20:00-04:00,ASPT,69.35
2017-03-14 00:30:00-04:00,ASPT,69.31
2017-03-14 00:40:00-04:00,ASPT,69.24
2017-03-14 00:50:00-04:00,ASPT,69.16
2017-03-14 01:00:00-04:00,ASPT,69.05
2017-03-14 01:10:00-04:00,ASPT,69.02
2017-03-14 01:20:00-04:00,ASPT,68.99
2017-03-14 01:30:00-04:00,ASPT,68.87
2017-03-14 01:40:00-04:00,ASPT,68.81
2017-03-14 01:50:00-04:00,ASPT,68.71
2017-03-14 02:00:00-04:00,ASPT,68.65
2017-03-14 02:10:00-04:00,ASPT,68.58
2017-03-14 02:20:00-04:00,ASPT,68.51
2017-03-14 02:30:00-04:00,ASPT,68.5
2017-03-14 02:40:00-04:00,ASPT,68.3
2017-03-14 02:50:00-04:00,ASPT,68.32
2017-03-14 03:00:00-04:00,ASPT,68.27
2017-03-14 03:10:00-04:00,ASPT,68.3
2017-03-14 03:20:00-04:00,ASPT,68.29
2017-03-14 03:30:00-04:00,ASPT,68.35
2017-03-14 03:40:00-04:00,ASPT,68.36
2017-03-14 03:50:00-04:00,ASPT,68.29
2017-03-14 04:00:00-04:00,ASPT,68.24
2017-03-14 04:10:00-04:00,ASPT,68.13
2017-03-14 04:20:00-04:00,ASPT,68.11
2017-03-14 04:30:00-04:00,ASPT,68.1
2017-03-14 04:40:00-04:00,ASPT,68.03
2017-03-14 04:50:00-04:00,ASPT,68.08
2017-03-14 05:00:00-04:00,ASPT,68.04
2017-03-14 05:10:00-04:00,ASPT,68.01
2017-03-14 05:20:00-04:00,ASPT,68.06
2017-03-14 05:30:00-04:00,ASPT,67.99
2017-03-14 05:40:00-04:00,ASPT,68.04
2017-03-14 05:50:00-04:00,ASPT,68.06
2017-03-14 06:00:00-04:00,ASPT,68.11
2017-03-14 06:10:00-04:00,ASPT,68.01
2017-03-14 06:20:00-04:00,ASPT,68.01
2017-03-14 06:30:00-04:00,ASPT,68.01
2017-03-14 06:40:00-04:00,ASPT,68.01
2017-03-14 06:50:00-04:00,ASPT,68.01
2017-03-14 07:00:00-04:00,ASPT,67.93
2017-03-14 07:10:00-04:00,ASPT,67.91
2017-03-14 07:20:00-04:00,ASPT,67.83
2017-03-14 07:30:00-04:00,ASPT,67.81
2017-03-14 07:40:00-04:00,ASPT,67.69
2017-03-14 07:50:00-04:00,ASPT,67.64
2017-03-14 08:00:00-04:00,ASPT,67.53
2017-03-14 08:10:00-04:00,ASPT,67.47
2017-03-14 08:20:00-04:00,ASPT,67.45
2017-03-14 08:30:00-04:00,ASPT,67.27
