Time,Label,value
2017-03-12 23:59:59-04:00,ASPT,68.63
2017-03-13 00:09:59-04:00,ASPT,68.58
2017-03-13 00:19:59-04:00,ASPT,68.58
2017-03-13 00:29:59-04:00,ASPT,68.67
2017-03-13 00:39:59-04:00,ASPT,68.68
2017-03-13 00:49:59-04:00,ASPT,68.68
2017-03-13 00:59:59-04:00,ASPT,68.7
2017-03-13 01:09:59-04:00,ASPT,68.63
2017-03-13 01:19:59-04:00,ASPT,68.66
2017-03-13 01:29:59-04:00,ASPT,68.63
2017-03-13 01:39:59-04:00,ASPT,68.6
2017-03-13 01:49:59-04:00,ASPT,68.59
2017-03-13 01:59:59-04:00,ASPT,68.53
2017-03-13 02:09:59-04:00,ASPT,68.5
2017-03-13 02:19:59-04:00,ASPT,68.62
2017-03-13 02:29:59-04:00,ASPT,68.61
2017-03-13 02:39:59-04:00,ASPT,68.56
2017-03-13 02:49:59-04:00,ASPT,68.61
2017-03-13 02:59:59-04:00,ASPT,68.59
2017-03-13 03:09:59-04:00,ASPT,68.61
2017-03-13 03:19:59-04:00,ASPT,68.58
2017-03-13 03:29:59-04:00,ASPT,68.63
2017-03-13 03:39:59-04:00,ASPT,68.55
2017-03-13 03:49:59-04:00,ASPT,68.6
2017-03-13 03:59:59-04:00,ASPT,68.59
2017-03-13 04:09:59-04:00,ASPT,68.6
2017-03-13 04:19:59-04:00,ASPT,68.5
2017-03-13 04:29:59-04:00,ASPT,68.46
2017-03-13 04:39:59-04:00,ASPT,68.4
2017-03-13 04:49:59-04:00,ASPT,68.35
2017-03-13 04:59:59-04:00,ASPT,68.32
2017-03-13 05:09:59-04:00,ASPT,68.34
2017-03-13 05:19:59-04:00,ASPT,68.32
2017-03-13 05:29:59-04:00,ASPT,68.29
2017-03-13 05:39:59-04:00,ASPT,68.26
2017-03-13 05:49:59-04:00,ASPT,68.18
2017-03-13 05:59:59-04:00,ASPT,68.24
2017-03-13 06:09:59-04:00,ASPT,68.24
2017-03-13 06:19:59-04:00,ASPT,68.17
2017-03-13 06:29:59-04:00,ASPT,68.19
2017-03-13 06:39:59-04:00,ASPT,68.15
2017-03-13 06:49:59-04:00,ASPT,68.15
2017-03-13 06:59:59-04:00,ASPT,68.14
2017-03-13 07:09:59-04:00,ASPT,68.19
2017-03-13 07:20:00-04:00,ASPT,68.04
2017-03-13 07:30:00-04:00,ASPT,68.08
2017-03-13 07:40:00-04:00,ASPT,68.09
2017-03-13 07:50:00-04:00,ASPT,68.09
2017-03-13 08:00:00-04:00,ASPT,68.1
2017-03-13 08:10:00-04:00,ASPT,68.16
2017-03-13 08:20:00-04:00,ASPT,68.48
2017-03-13 08:30:00-04:00,ASPT,69.28
2017-03-13 08:40:00-04:00,ASPT,69.74
2017-03-13 08:50:00-04:00,ASPT,69.59
2017-03-13 09:00:00-04:00,ASPT,69.55
2017-03-13 09:10:00-04:00,ASPT,69.63
2017-03-13 09:20:00-04:00,ASPT,69.87
2017-03-13 09:30:00-04:00,ASPT,69.94
2017-03-13 09:40:00-04:00,ASPT,69.95
2017-03-13 09:50:00-04:00,ASPT,69.89
2017-03-13 10:00:00-04:00,ASPT,69.88
2017-03-13 10:10:00-04:00,ASPT,69.92
2017-03-13 10:20:00-04:00,ASPT,69.94
2017-03-13 10:30:00-04:00,ASPT,69.94
2017-03-13 10:40:00-04:00,ASPT,70.07
2017-03-13 10:50:00-04:00,ASPT,70.31
2017-03-13 11:00:00-04:00,ASPT,70.48
2017-03-13 11:10:00-04:00,ASPT,70.56
2017-03-13 11:20:00-04:00,ASPT,70.76
2017-03-13 11:30:00-04:00,ASPT,70.87
2017-03-13 11:40:00-04:00,ASPT,70.95
2017-03-13 11:50:00-04:00,ASPT,71.1
2017-03-13 12:00:00-04:00,ASPT,71.18
2017-03-13 12:10:00-04:00,ASPT,71.38
2017-03-13 12:20:00-04:00,ASPT,71.47
2017-03-13 12:30:00-04:00,ASPT,71.55
2017-03-13 12:40:00-04:00,ASPT,71.7
2017-03-13 12:50:00-04:00,ASPT,71.76
2017-03-13 13:00:00-04:00,ASPT,71.89
2017-03-13 13:10:00-04:00,ASPT,71.94
2017-03-13 13:20:00-04:00,ASPT,72.11
2017-03-13 13:30:00-04:00,ASPT,72.35
2017-03-13 13:40:00-04:00,ASPT,72.39
2017-03-13 13:50:00-04:00,ASPT,72.48
2017-03-13 14:00:00-04:00,ASPT,72.65
2017-03-13 14:10:00-04:00,ASPT,72.82
2017-03-13 14:20:00-04:00,ASPT,72.98
2017-03-13 14:30:00-04:00,ASPT,73.09
2017-03-13 14:40:00-04:00,ASPT,73.23
2017-03-13 14:50:00-04:00,ASPT,73.37
2017-03-13 15:00:00-04:00,ASPT,73.54
2017-03-13 15:10:00-04:00,ASPT,73.46
2017-03-13 15:20:00-04:00,ASPT,73.63
2017-03-13 15:30:00-04:00,ASPT,73.75
2017-03-13 15:40:00-04:00,ASPT,73.84
2017-03-13 15:50:00-04:00,ASPT,73.95
2017-03-13 16:00:00-04:00,ASPT,74.02
2017-03-13 16:10:00-04:00,ASPT,74.16
2017-03-13 16:20:00-04:00,ASPT,74.2
2017-03-13 16:30:00-04:00,ASPT,73.86
2017-03-13 16:40:00-04:00,ASPT,73.67
2017-03-13 16:50:00-04:00,ASPT,73.28
2017-03-13 17:00:00-04:00,ASPT,73.03
2017-03-13 17:10:00-04:00,ASPT,72.73
2017-03-13 17:20:00-04:00,ASPT,72.43
2017-03-13 17:30:00-04:00,ASPT,72.31
2017-03-13 17:40:00-04:00,ASPT,72.15
2017-03-13 17:50:00-04:00,ASPT,71.9
2017-03-13 18:00:01-04:00,ASPT,71.7
2017-03-13 18:10:00-04:00,ASPT,71.48
2017-03-13 18:20:00-04:00,ASPT,71.19
2017-03-13 18:30:00-04:00,ASPT,71.02
2017-03-13 18:40:00-04:00,ASPT,71.3
2017-03-13 18:50:00-04:00,ASPT,71.28
2017-03-13 19:00:00-04:00,ASPT,71.24
2017-03-13 19:10:01-04:00,ASPT,71.19
2017-03-13 19:20:00-04:00,ASPT,71.18
2017-03-13 19:30:00-04:00,ASPT,71.17
2017-03-13 19:40:00-04:00,ASPT,71.14
2017-03-13 19:50:00-04:00,ASPT,71.05
2017-03-13 20:00:00-04:00,ASPT,71.0
2017-03-13 20:10:00-04:00,ASPT,70.97
2017-03-13 20:20:00-04:00,ASPT,70.97
2017-03-13 20:30:00-04:00,ASPT,70.92
2017-03-13 20:40:00-04:00,ASPT,70.89
2017-03-13 20:50:00-04:00,ASPT,70.84
2017-03-13 21:00:00-04:00,ASPT,70.77
2017-03-13 21:10:00-04:00,ASPT,70.66
2017-03-13 21:20:00-04:00,ASPT,70.56
2017-03-13 21:30:00-04:00,ASPT,70.46
2017-03-13 21:40:00-04:00,ASPT,70.42
2017-03-13 21:50:00-04:00,ASPT,70.38
2017-03-13 22:00:00-04:00,ASPT,70.31
2017-03-13 22:10:00-04:00,ASPT,70.29
2017-03-13 22:20:00-04:00,ASPT,70.14
2017-03-13 22:30:00-04:00,ASPT,70.03
2017-03-13 22:40:00-04:00,ASPT,69.94
2017-03-13 22:50:00-04:00,ASPT,69.9
2017-03-13 23:00:00-04:00,ASPT,69.84
2017-03-13 23:10:00-04:00,ASPT,69.77
2017-03-13 23:20:00-04:00,ASPT,69.71
2017-03-13 23:30:00-04:00,ASPT,69.68
2017-03-13 23:40:00-04:00,ASPT,69.67
2017-03-12 23:59:59-04:00,ASPT,68.63
2017-03-13 00:01:59-04:00,ASPT,68.63
2017-03-13 00:03:59-04:00,ASPT,68.62
2017-03-13 00:05:59-04:00,ASPT,68.61
2017-03-13 00:07:59-04:00,ASPT,68.58
2017-03-13 00:09:59-04:00,ASPT,68.58
2017-03-13 00:11:59-04:00,ASPT,68.58
2017-03-13 00:13:59-04:00,ASPT,68.62
2017-03-13 00:15:59-04:00,ASPT,68.63
2017-03-13 00:17:59-04:00,ASPT,68.6
